station,lat,lon
Александровский сад,55.752255,37.608775
Арбатская,55.752312,37.60349
Авиамоторная,55.751933,37.717444
Автозаводская,55.706634,37.657008
Алексеевская,55.807794,37.638699
Аэропорт,55.800441,37.530477
Авиастроительная,55.855851,49.084495
Баррикадная,55.760793,37.581242
Белорусская,55.777439,37.582107
Библиотека им. Ленина,55.752123,37.610388
Боровицкая,55.750399,37.60934
Сретенский бульвар,55.766106,37.635688
Цветной бульвар,55.771653,37.620466
Бауманская,55.772405,37.67904
Беговая,55.773505,37.545518
Ботанический сад,55.844597,37.637811
Красные ворота,55.768307,37.6478
ВДНХ,55.819626,37.640751
Войковская,55.818923,37.497791
Волгоградский проспект,55.725546,37.685197
Аэропорт Внуково,55.607087,37.287702
Варшавская,55.653406,37.619711
Василеостровская,59.942577,30.278254
Верхние Котлы,55.69,37.618889
Верхние Лихоборы,55.855143,37.561589
Вешняки,55.721944,37.799167
Китай-город,55.756498,37.631326
Улица 1905 года,55.763944,37.562271
Воробьёвы горы,55.709169,37.557293
Гагаринская,55.051071,82.91477
Генерала Тюленева,55.626522,37.486343
Геологическая,56.826715,60.603754
Говорово,55.6588,37.4174
Горки,55.760763,49.189679
Добрынинская,55.728994,37.622533
Деловой центр,55.750243,37.542641
Динамо,55.789704,37.558212
Дубровка,55.71807,37.676259
Бульвар Дмитрия Донского,55.568201,37.576856
Гостиный двор,59.933933,30.33341
Давыдково,55.71517,37.45177
Двигатель Революции,56.277093,43.922012
Девяткино,60.050182,30.443045
Дегунино,55.865576,37.573232
Елизаровская,59.89669,30.423656
Ермакова Роща,55.765556,37.535278
Есенинская,55.581944,38.184167
Ботаническая,56.797487,60.633362
Машиностроителей,56.878517,60.61218
Площадь 1905 года,56.836495,60.599289
Проспект Космонавтов,56.900393,60.613878
Уралмаш,56.887674,60.614165
Железнодорожная,55.7525,38.008889
Жулебино,55.684722,37.855833
Крестьянская застава,55.732278,37.665325
Заельцовская,55.059291,82.912569
Заречная,56.285144,43.927528
Звёздная,59.833241,30.349428
Звенигородская,59.92065,30.329599
Зенит,59.971879,30.211942
ЗИЛ,55.698333,37.648333
Золотая нива,55.037928,82.976044
Зорге,55.787778,37.504444
Зюзино,55.655717,37.57369
Площадь Ильича,55.747115,37.680726
Горный институт,59.931751,30.262715
Измайлово,55.788611,37.742778
Измайловская,55.787713,37.779896
Ильинская,55.616389,38.100278
Ипподром,55.560278,38.238889
Серп и Молот,55.748056,37.681944
Технологический институт 1,59.916512,30.318485
Технологический институт 2,59.916512,30.318485
Киевская,55.743117,37.564132
Комсомольская,55.774072,37.654565
Краснопресненская,55.760378,37.577114
Кузнецкий мост,55.761498,37.624423
Курская,55.758564,37.659039
Лубянка,55.759889,37.625336
Ленинский проспект,55.70678,37.58499
Ладожская,59.93243,30.439274
Левобережная,55.886944,37.468611
Ленинская,56.297798,43.937328
Лермонтовский проспект,55.702036,37.851044
Лесная,59.984947,30.344259
Марксистская,55.740746,37.65604
Менделеевская,55.781999,37.599141
Проспект Мира,55.779584,37.633646
Москва-Сити,55.748324,37.533282
Малаховка,55.645,38.008333
Малино,55.969167,37.211667
Марк,55.904438,37.538269
Маршала Покрышкина,55.043634,82.935566
Новокузнецкая,55.742391,37.62928
Новослободская,55.779606,37.601252
Нагатинская,55.682099,37.620917
Нагатинский затон,55.684427,37.704592
Нагорная,55.672962,37.610397
Нарвская,59.901218,30.274908
Народное ополчение,55.775697,37.485071
Нахабино,55.841655,37.184854
Нахимовский проспект,55.662379,37.605274
Октябрьская,55.729264,37.611049
Охотный ряд,55.757228,37.615078
Крестовский остров,59.971821,30.259436
Обводный Канал,59.914686,30.34815
Обухово,59.848709,30.457743
Одинцово,55.672473,37.282779
Озерки,60.037098,30.321495
Озёрная,55.6698,37.4495
Павелецкая,55.729741,37.638693
Парк культуры,55.736163,37.595027
Площадь Революции,55.756741,37.62236
Пушкинская,55.765607,37.604356
Чистые пруды,55.76499,37.638293
Полянка,55.736795,37.618594
Рижская,55.792494,37.636114
Римская,55.747027,37.679996
Березовая роща,55.043242,82.952913
Бульвар Рокоссовского,55.814916,37.732227
Марьина Роща,55.793723,37.61618
Серпуховская,55.726548,37.624792
Сухаревская,55.772315,37.63285
Смоленская,55.747713,37.583802
Савёловская,55.794054,37.587163
Семёновская,55.783096,37.719289
Таганская,55.742396,37.653334
Тверская,55.765343,37.603918
Театральная,55.758808,37.61768
Третьяковская,55.74073,37.625624
Трубная,55.76771,37.621926
Тургеневская,55.765371,37.636732
Тимирязевская,55.81866,37.574498
Тульская,55.70961,37.622569
Бульвар адмирала Ушакова,55.545207,37.542329
Угрешская,55.718333,37.697778
Удельная,55.634444,38.043889
Ул. Академика Королева,55.821821,37.627167
Ул. Милашенкова,55.821876,37.591206
Ул. Сергея Эйзенштейна,55.829305,37.644997
Улица Академика Янгеля,55.596753,37.601498
Улица Горчакова,55.542281,37.532063
Фрунзенская,55.727462,37.58022
Фабричная,55.572859,38.206822
Физтех,55.921536,37.546498
Филатов луг,55.601177,37.407995
Филевский парк,55.739665,37.483902
Фили,55.746763,37.514035
Фирсановская,55.960278,37.251111
Фонвизинская,55.822778,37.588056
Химки,55.894444,37.450833
Хлебниково,55.970897,37.504591
Ховрино,55.878273,37.480768
Хорошево,55.777222,37.507222
Хорошевская,55.776862,37.520797
Выставочный центр,55.824086,37.638494
Царицыно,55.620982,37.669612
ЦСКА,55.786602,37.533301
Чеховская,55.765747,37.608493
Чкаловская,55.755951,37.659293
Черкизовская,55.802787,37.744863
Новые Черемушки,55.670077,37.554493
Чёрная речка,59.985455,30.300833
Чертановская,55.640538,37.606065
Шаболовская,55.718828,37.607892
Шоссе Энтузиастов,55.75809,37.751703
Боровское шоссе,55.647,37.3701
Пятницкое шоссе,55.853634,37.353108
Шелепиха,55.7575,37.525556
Шереметьевская,55.983771,37.498833
Шипиловская,55.621667,37.743611
Шушары,59.8201,30.43254
Щёлковская,55.809962,37.798261
Щербинка,55.510155,37.562191
Щукинская,55.8094,37.463241
Электрозаводская,55.782057,37.7053
Электросила,59.879189,30.318659
Юго-Восточная,55.705351,37.817995
Юго-Западная,55.663146,37.482852
Южная,55.622436,37.609047
Юнгородок,53.212701,50.282982
Яшьлек (Юность),55.827843,49.082905
Ясенево,55.606182,37.5334
Яхромская,55.879904,37.545429
